departamento;municipio;numero_contratos;inversion_publica_total
Caldas;San José;128;
Santander;Chipatá;13;
Caldas;Filadelfia;343;
Tolima;Icononzo;22;
La Guajira;San Juan Del Cesar;22;
Cundinamarca;Guachetá;67;
Santander;Molagavita;13;
Santander;Güepsa;20;
Córdoba;Montelíbano;9;
Sucre;Los Palmitos;13;
Boyacá;Buenavista;53;
Caldas;Aguadas;24;
Sucre;Sucre;10;
Cundinamarca;Jerusalén;7;
Meta;El Dorado;3;
Tolima;Villahermosa;11;
Santander;Macaravita;21;
La Guajira;Urumita;1;
Boyacá;Tibaná;2;
Meta;Cubarral;1;
Cundinamarca;Paratebueno;907;
Valle del Cauca;Dagua;3212;
Cauca;No Definido;3933;
Caquetá;Belén De Los Andaquies;476;
Valle del Cauca;Tuluá;11568;
Nariño;Ipiales;5098;
Caldas;No Definido;16926;
Córdoba;Montería;24937;
Huila;Agrado;631;
Antioquia;Guarne;5467;
Arauca;Arauca;13801;
Cundinamarca;Facatativá;8811;
Antioquia;Urrao;1004;
Bolívar;No Definido;11157;
Quindío;Calarca;5290;
Boyacá;Tota;506;
Sucre;No Definido;1331;
Santander;Girón;8071;
Valle del Cauca;Candelaria;11909;
Caldas;Pensilvania;2084;
Cesar;La Paz;3851;
Cundinamarca;Puerto Salgar;1730;
Huila;San Agustín;1771;
Santander;Pinchote;420;
Cundinamarca;Cucunubá;939;
Boyacá;Sutamarchán;378;
Nariño;La Cruz;65;
Cundinamarca;Apulo;490;
Huila;Saladoblanco;726;
Boyacá;Pauna;530;
Valle del Cauca;Alcalá;341;
Cundinamarca;Sutatausa;326;
Huila;Timaná;539;
Boyacá;Corrales;516;
Chocó;Bahía Solano;91;
Valle del Cauca;Versalles;110;
Magdalena;Santa Ana;44;
Santander;Cabrera;50;
Santander;Aratoca;210;
Antioquia;Necoclí;343;
Boyacá;Páez;66;
Antioquia;Giraldo;318;
Nariño;Chachagüí;24;
Santander;Vetas;14;
Cauca;Puerto Tejada;249;
Cesar;Manaure;21;
Cesar;Curumaní;27;
Boyacá;Jenesano;44;
Nariño;El Tambo;48;
Boyacá;Chíquiza;18;
La Guajira;Barrancas;34;
Cundinamarca;Une;73;
Antioquia;Anorí;17;
Cesar;El Copey;53;
Huila;Villavieja;5;
Antioquia;Mutatá;3;
Huila;Tello;8;
Santander;San Joaquín;20;
Santander;Gambita;20;
Caquetá;El Doncello;32;
Santander;Guadalupe;11;
Santander;Hato;4;
Nariño;Samaniego;2;
Magdalena;Puebloviejo;1;
Córdoba;Chimá;4;
Tolima;Carmen De Apicalá;3;
